,Unnamed: 0,Unnamed: 1,time,geometry
10,gdf_nodes10,0,15 mins,"POLYGON ((-8231290.90723139 4967177.62784381, -8232336.943090527 4967349.582876642, -8232456.388904148 4967442.080430459, -8232604.555146394 4967750.705580669, -8232732.683880297 4968171.814024317, -8232430.451462794 4968576.200912193, -8232101.39104801 4968714.083923964, -8231873.887404676 4968766.77072547, -8230957.616675956 4968610.605405012, -8230861.893045822 4968579.211116934, -8230511.214385926 4968082.363671018, -8230683.770728604 4967489.841811375, -8231290.90723139 4967177.62784381))"
11,gdf_nodes11,0,15 mins,"POLYGON ((-8236209.948550308 4967866.684789672, -8236389.796319636 4967879.781907917, -8238306.628895503 4969942.562000572, -8238085.581782633 4970657.648271894, -8238081.14013495 4970663.434970946, -8237849.573330203 4970875.312762136, -8237257.431562827 4971287.375780457, -8237123.336104216 4971104.732267672, -8235744.054217441 4968152.461432701, -8236080.250211586 4967917.13522041, -8236209.948550308 4967866.684789672))"
12,gdf_nodes12,0,15 mins,"POLYGON ((-8236527.465133899 4970699.800193632, -8236603.095595943 4970729.923507574, -8236748.512246767 4971111.694249758, -8236807.544972735 4971758.680838625, -8236800.030907107 4971841.701741503, -8236754.868589691 4971945.258526814, -8236740.897993596 4971951.163499972, -8236500.381101789 4971940.99872252, -8236206.108027876 4971884.108479682, -8236190.857257638 4971875.853326065, -8235959.346112634 4971747.032703944, -8235754.017311867 4971525.882353764, -8235546.150426709 4971284.71725371, -8235540.462000729 4971270.998679661, -8235559.976307466 4971258.190777795, -8236527.465133899 4970699.800193632))"
13,gdf_nodes13,0,15 mins,"POLYGON ((-8231345.720948657 4983168.371078781, -8232473.242675056 4983174.179899094, -8232728.264496513 4983437.90398257, -8233024.274154481 4983754.241104232, -8233529.720302429 4984496.989785744, -8233515.148581084 4984737.437037565, -8233385.116283887 4985529.639983364, -8233088.01569491 4986196.294052104, -8232427.189801714 4986939.258071396, -8231601.143520283 4986610.710474089, -8230594.436837243 4984951.767781221, -8230207.334439957 4983399.035372663, -8230287.58466087 4983316.475017516, -8230434.314881685 4983265.577362428, -8230603.587299385 4983238.812449473, -8231131.007914815 4983170.621077126, -8231345.720948657 4983168.371078781))"
14,gdf_nodes14,0,15 mins,"POLYGON ((-8221197.936355483 4987448.570645027, -8221388.114573556 4987452.542972728, -8222178.850312508 4987677.188092771, -8222253.823989555 4987958.307064808, -8221618.412336108 4989071.872041383, -8221519.738739468 4989108.879759473, -8221002.615176938 4989180.806095957, -8220546.539223157 4989121.063643313, -8220336.657455216 4989084.335459981, -8220277.769444588 4989053.257874429, -8220230.892807015 4989011.379807351, -8220011.092472442 4988532.929032205, -8219871.542358785 4988125.522773239, -8220054.395754361 4987979.699922064, -8220730.260910763 4987637.110871203, -8221043.513957855 4987486.248973981, -8221197.936355483 4987448.570645027))"
15,gdf_nodes15,0,15 mins,"POLYGON ((-8227664.351992276 4984305.127482926, -8228200.956465696 4984417.082244902, -8228427.959171322 4984504.343724458, -8228750.006458187 4984782.620837885, -8229184.820389226 4985722.673721666, -8228743.772566702 4986219.051119191, -8228552.826244144 4986323.701948108, -8227131.665964932 4986820.168770765, -8226988.264196892 4986845.825441023, -8226769.855355956 4986514.235830702, -8226654.194405022 4985897.720952748, -8226688.703447167 4985782.983757607, -8226797.462589673 4985440.986661116, -8227374.654149435 4984562.734194553, -8227527.050532332 4984406.448546388, -8227664.351992276 4984305.127482926))"
16,gdf_nodes16,0,15 mins,"POLYGON ((-8227482.634055506 4983790.066819288, -8228087.889258899 4985278.612107269, -8228186.930209857 4985924.449029016, -8228235.643619028 4986414.437508427, -8228239.417349764 4986518.222488896, -8227808.766767683 4987033.441893058, -8227160.475449149 4987454.749822147, -8226892.752073792 4987624.972978656, -8226628.646581884 4987723.135858867, -8226449.03258349 4987772.394223134, -8226115.363541787 4987753.620695351, -8225717.218251015 4987557.133471856, -8225234.937689101 4986304.210388722, -8225222.558961727 4986111.665295484, -8225264.248111027 4985993.821746927, -8225395.260019742 4985773.701871708, -8225844.011151029 4985092.088427013, -8226104.944037449 4984696.724729997, -8227482.634055506 4983790.066819288))"
17,gdf_nodes17,0,15 mins,"POLYGON ((-8226849.894069836 4984320.43808857, -8227160.252810168 4984503.755409155, -8227463.186540463 4985048.065181194, -8227575.541302522 4985352.260598515, -8227770.060980733 4986013.636309711, -8227775.649219172 4986150.618263148, -8227742.553934558 4986324.716981324, -8227574.138676937 4986785.655948048, -8226993.596400501 4987384.130888276, -8225984.273709428 4987892.451493397, -8225745.370950236 4987802.084719354, -8225590.536670493 4987690.885595022, -8224932.872250834 4986237.159721813, -8224939.21746181 4986186.644012529, -8225104.204079115 4985972.330273316, -8225180.391138612 4985886.806151243, -8225875.236268196 4985116.828607555, -8226849.894069836 4984320.43808857))"
18,gdf_nodes18,0,15 mins,"POLYGON ((-8215917.318198519 4969563.157195736, -8217302.577941951 4970029.518045419, -8217797.548925815 4970586.122604456, -8216475.362805866 4971473.180683788, -8216074.278680538 4971637.396968818, -8215248.844656305 4971850.382842654, -8214339.141777544 4971245.20663753, -8214242.961737498 4971055.029147185, -8214619.611234597 4970038.476573962, -8214798.401468761 4969678.952301758, -8215917.318198519 4969563.157195736))"
19,gdf_nodes19,0,15 mins,"POLYGON ((-8227160.252810168 4984503.755409155, -8227727.670518639 4985267.109636953, -8227864.905186889 4986046.440017333, -8227886.245133274 4986729.929619049, -8227862.545213684 4986925.223259226, -8227808.766767683 4987033.441893058, -8227070.484772793 4987703.317823701, -8226782.835208583 4987846.326374693, -8226338.15837066 4987993.530267406, -8225727.737942896 4988116.429931584, -8225263.813965014 4987848.901136337, -8225222.558961727 4986111.665295484, -8225264.248111027 4985993.821746927, -8225395.260019742 4985773.701871708, -8226148.570145891 4985006.071925977, -8226337.601773206 4984824.245422403, -8226632.041826354 4984677.604123932, -8227160.252810168 4984503.755409155))"
0,gdf_nodes0,0,15 mins,"POLYGON ((-8237504.271401712 4970195.105288501, -8237579.267342659 4970232.731800699, -8237691.299278193 4970302.448441528, -8237707.496264104 4970312.817127013, -8237861.885265885 4970419.853151755, -8237920.417054144 4970934.370879605, -8237925.827181397 4971112.399260878, -8237921.91986727 4971129.319543025, -8237887.355165378 4971170.254409234, -8237239.408937267 4971657.54964033, -8237171.259145004 4971627.42346818, -8237166.717309779 4971616.260210017, -8236954.831791003 4970858.701353935, -8237020.844249043 4970694.630331435, -8237025.141181387 4970684.672479558, -8237493.128320683 4970197.851637147, -8237504.271401712 4970195.105288501))"
1,gdf_nodes1,0,15 mins,"POLYGON ((-8227874.589982589 4987213.470575276, -8228733.865132021 4988581.043791713, -8228712.603109281 4988899.166308864, -8228311.073705987 4990166.329794862, -8228221.684154882 4990304.282510708, -8227560.112421098 4990824.602854197, -8227130.419186635 4991093.493743747, -8226819.72648783 4991232.872508778, -8226706.514565695 4991181.948251695, -8226473.856829937 4991076.126729941, -8225964.124881595 4990580.296816849, -8225930.172436903 4990401.04483449, -8225840.782885795 4989462.454016509, -8226261.615088791 4988252.102483271, -8227874.589982589 4987213.470575276))"
2,gdf_nodes2,0,15 mins,"POLYGON ((-8236166.700928136 4968119.64434097, -8237976.243778776 4969999.705296422, -8237914.917871298 4970562.03604982, -8237852.801595436 4971062.945791599, -8237804.811762954 4971113.926785144, -8237228.555286914 4971409.316276049, -8237220.462359933 4971412.503611257, -8237141.202882489 4971380.116221244, -8237060.640967002 4971318.352811151, -8236920.500860043 4970991.754972853, -8236119.312220906 4968160.361044381, -8236166.700928136 4968119.64434097))"
